IDpol,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Region,Area
1,0,0.79,11,9,27,69,B1,Regular,R5,Rural
2,1,0.94,5,3,25,142,B4,Regular,R13,Urban
3,0,0.78,8,3,43,78,B2,Diesel,R20,Urban
4,0,0.82,9,12,20,102,B1,Diesel,R16,Suburban
5,0,0.76,11,8,76,134,B4,Diesel,R14,Rural
6,0,0.53,10,6,20,50,B4,Diesel,R5,Suburban
7,0,0.62,6,15,55,83,B3,Diesel,R19,Urban
8,0,0.75,9,17,19,93,B3,Diesel,R4,Urban
9,0,0.66,4,2,34,145,B2,Regular,R22,Rural
10,0,0.59,7,19,53,63,B4,Regular,R11,Rural
11,1,0.75,6,19,19,86,B3,Diesel,R2,Suburban
12,0,0.66,9,9,51,84,B2,Diesel,R13,Urban
13,0,0.63,4,15,44,108,B1,Diesel,R16,Suburban
14,0,0.73,4,2,54,73,B3,Diesel,R9,Suburban
15,0,0.57,10,10,88,114,B2,Diesel,R16,Suburban
16,0,0.96,10,9,39,55,B3,Diesel,R7,Urban
17,0,0.93,7,15,85,117,B1,Regular,R16,Rural
18,0,0.85,4,7,31,87,B1,Regular,R13,Urban
19,0,0.55,11,8,40,50,B3,Diesel,R5,Suburban
20,0,0.89,8,14,61,90,B1,Diesel,R15,Urban
21,0,0.9,4,2,82,80,B2,Diesel,R7,Suburban
22,0,0.88,9,3,78,85,B3,Regular,R18,Suburban
23,0,0.56,10,12,72,122,B3,Regular,R20,Rural
24,0,0.82,8,11,88,103,B1,Regular,R2,Suburban
25,0,0.92,11,8,67,136,B2,Regular,R8,Urban
26,0,0.79,10,13,29,80,B3,Regular,R10,Rural
27,0,0.82,11,18,32,78,B3,Diesel,R10,Rural
28,0,0.73,10,6,34,134,B1,Diesel,R11,Rural
29,0,0.76,10,15,51,52,B1,Regular,R21,Rural
30,0,0.52,4,19,52,107,B2,Diesel,R21,Rural
31,0,0.82,5,4,56,139,B2,Regular,R8,Urban
32,2,0.54,4,9,72,110,B1,Regular,R16,Suburban
33,0,0.72,10,17,76,55,B2,Regular,R16,Suburban
34,0,0.65,8,10,22,69,B4,Diesel,R17,Suburban
35,0,0.77,4,6,47,110,B4,Diesel,R6,Suburban
36,0,0.57,10,13,21,95,B1,Diesel,R18,Rural
37,0,0.85,10,19,32,62,B3,Diesel,R17,Suburban
38,0,0.9,4,17,52,72,B1,Diesel,R12,Suburban
39,0,0.58,4,10,72,128,B1,Regular,R15,Rural
40,1,0.55,8,11,83,80,B1,Regular,R7,Rural
41,0,0.57,11,17,77,53,B3,Regular,R14,Rural
42,0,0.94,4,1,41,124,B4,Diesel,R4,Suburban
43,0,0.76,7,0,39,115,B2,Diesel,R17,Rural
44,0,0.73,9,9,61,65,B4,Diesel,R11,Rural
45,0,0.55,7,0,49,80,B2,Regular,R6,Urban
46,1,0.82,8,5,68,97,B2,Regular,R10,Urban
47,1,0.93,5,6,20,92,B1,Regular,R15,Suburban
48,0,0.91,7,16,87,53,B1,Diesel,R6,Rural
49,1,0.81,11,8,49,111,B2,Diesel,R16,Suburban
50,0,0.54,10,6,19,97,B3,Regular,R12,Urban
51,0,0.56,9,16,76,77,B3,Regular,R19,Urban
52,0,0.52,6,2,31,65,B3,Regular,R16,Rural
53,0,0.63,9,15,68,138,B3,Regular,R14,Suburban
54,0,0.57,7,4,28,126,B1,Diesel,R6,Urban
55,0,0.63,6,19,27,118,B4,Regular,R9,Rural
56,0,0.69,8,17,75,79,B4,Diesel,R22,Suburban
57,0,0.97,11,0,51,114,B2,Diesel,R1,Rural
58,0,0.81,9,3,70,118,B3,Diesel,R22,Rural
59,0,0.92,5,10,45,63,B1,Diesel,R8,Urban
60,0,0.86,6,19,35,124,B1,Diesel,R7,Suburban
61,0,0.56,6,8,43,83,B1,Regular,R14,Urban
62,1,0.87,9,7,24,105,B2,Diesel,R8,Suburban
63,0,0.64,7,7,62,78,B1,Regular,R11,Suburban
64,0,0.82,6,4,62,131,B2,Regular,R9,Rural
65,0,0.67,8,11,88,128,B2,Diesel,R19,Rural
66,0,1.0,9,0,52,74,B2,Regular,R7,Suburban
67,0,0.63,8,14,69,143,B2,Regular,R6,Rural
68,0,0.64,9,17,38,115,B1,Regular,R18,Urban
69,0,0.97,8,5,45,89,B1,Regular,R5,Suburban
70,0,0.51,7,9,61,140,B4,Diesel,R19,Urban
71,0,0.85,9,13,73,64,B1,Regular,R11,Rural
72,0,0.86,11,7,27,81,B3,Regular,R5,Suburban
73,0,0.92,10,2,40,69,B3,Diesel,R9,Rural
74,0,0.99,5,18,65,102,B2,Diesel,R8,Urban
75,0,0.99,7,11,69,127,B2,Diesel,R11,Suburban
76,0,0.53,8,11,32,140,B2,Diesel,R22,Rural
77,0,0.91,11,14,72,116,B4,Diesel,R6,Urban
78,0,0.82,9,6,60,98,B2,Regular,R15,Urban
79,0,0.82,7,3,67,116,B4,Diesel,R6,Rural
80,0,0.56,8,8,23,126,B2,Regular,R22,Suburban
81,0,0.83,4,15,50,138,B3,Diesel,R11,Rural
82,0,0.99,4,12,79,131,B2,Regular,R15,Suburban
83,0,0.96,6,3,72,50,B1,Regular,R12,Urban
84,0,0.72,5,8,56,88,B2,Diesel,R9,Urban
85,0,0.52,4,17,29,110,B1,Regular,R10,Urban
86,0,0.68,10,14,48,104,B1,Diesel,R15,Rural
87,0,0.91,8,14,70,118,B1,Regular,R17,Rural
88,0,0.85,7,5,51,51,B1,Diesel,R16,Rural
89,0,0.73,9,10,58,143,B4,Regular,R22,Urban
90,0,0.53,7,7,27,66,B4,Regular,R8,Suburban
91,0,0.71,6,16,69,78,B2,Diesel,R17,Rural
92,0,0.73,11,16,74,53,B2,Diesel,R11,Rural
93,0,0.96,7,17,20,122,B4,Diesel,R11,Rural
94,0,0.82,4,3,74,113,B2,Diesel,R6,Urban
95,0,0.66,7,14,50,134,B2,Diesel,R22,Suburban
96,1,0.76,4,1,24,92,B4,Diesel,R2,Suburban
97,0,0.53,4,1,21,125,B4,Diesel,R1,Suburban
98,0,0.99,5,9,56,61,B2,Diesel,R20,Rural
99,0,0.68,6,2,65,99,B4,Diesel,R6,Rural
100,0,0.74,10,7,33,117,B3,Diesel,R5,Suburban
101,0,0.68,10,19,55,110,B1,Regular,R22,Urban
102,0,0.84,8,6,21,141,B1,Regular,R22,Suburban
103,1,0.83,10,11,21,122,B3,Diesel,R9,Rural
104,0,0.86,4,18,44,100,B3,Diesel,R5,Suburban
105,0,0.63,9,14,34,145,B2,Regular,R18,Suburban
106,0,0.66,6,13,87,126,B2,Diesel,R19,Suburban
107,0,0.56,8,15,71,147,B1,Regular,R15,Urban
108,0,0.83,10,13,25,132,B2,Regular,R15,Rural
109,0,0.52,10,2,70,127,B1,Regular,R9,Rural
110,0,0.8,9,17,22,54,B2,Regular,R14,Suburban
111,0,0.93,7,5,86,140,B2,Regular,R5,Rural
112,0,0.95,6,16,64,77,B1,Diesel,R17,Urban
113,0,0.72,9,13,57,139,B3,Regular,R15,Suburban
114,0,0.73,10,13,24,59,B3,Diesel,R20,Urban
